user_id,company_id,user_type,join_date,email,current_state,initial_churn_prob
37,1,loyal,2021-05-29,user37@techflowsaas.com,Active,0.1957
38,1,churner,2020-01-24,user38@techflowsaas.com,Churned,0.8861
39,1,loyal,2023-01-04,user39@techflowsaas.com,Active,0.1626
40,1,at_risk,2021-11-27,user40@techflowsaas.com,At Risk,0.4279
41,1,loyal,2022-07-18,user41@techflowsaas.com,Active,0.0505
42,1,at_risk,2021-06-23,user42@techflowsaas.com,At Risk,0.643
43,1,at_risk,2022-11-05,user43@techflowsaas.com,At Risk,0.6282
44,1,churner,2021-09-03,user44@techflowsaas.com,Churned,0.9183
45,1,at_risk,2021-02-11,user45@techflowsaas.com,At Risk,0.4382
46,1,at_risk,2023-01-09,user46@techflowsaas.com,At Risk,0.6384
47,1,churner,2020-01-02,user47@techflowsaas.com,Churned,0.8698
48,1,loyal,2020-08-17,user48@techflowsaas.com,Active,0.1894
49,1,churner,2021-09-21,user49@techflowsaas.com,Churned,0.7979
50,1,loyal,2023-03-07,user50@techflowsaas.com,Active,0.192
51,1,loyal,2022-09-22,user51@techflowsaas.com,Active,0.1724
52,1,churner,2022-12-26,user52@techflowsaas.com,Churned,0.9032
53,1,loyal,2022-08-31,user53@techflowsaas.com,Active,0.192
54,1,loyal,2022-12-16,user54@techflowsaas.com,Active,0.1809
55,1,loyal,2021-03-09,user55@techflowsaas.com,Active,0.1893
56,1,at_risk,2023-11-13,user56@techflowsaas.com,At Risk,0.4503
57,1,loyal,2023-10-07,user57@techflowsaas.com,Active,0.1475
58,1,loyal,2022-11-25,user58@techflowsaas.com,Active,0.1177
59,1,loyal,2020-05-11,user59@techflowsaas.com,Active,0.1007
60,1,at_risk,2021-04-16,user60@techflowsaas.com,At Risk,0.5471
61,1,loyal,2023-12-20,user61@techflowsaas.com,Active,0.1447
62,1,loyal,2020-03-05,user62@techflowsaas.com,Active,0.1789
63,1,loyal,2021-05-02,user63@techflowsaas.com,Active,0.0918
64,1,loyal,2023-01-09,user64@techflowsaas.com,Active,0.0698
65,1,churner,2023-03-15,user65@techflowsaas.com,Churned,0.8652
66,1,loyal,2022-08-26,user66@techflowsaas.com,Active,0.1711
67,1,loyal,2020-07-17,user67@techflowsaas.com,Active,0.1488
68,1,loyal,2022-04-21,user68@techflowsaas.com,Active,0.1201
69,1,at_risk,2023-10-11,user69@techflowsaas.com,At Risk,0.5634
70,1,at_risk,2020-05-04,user70@techflowsaas.com,At Risk,0.5007
71,1,loyal,2020-08-11,user71@techflowsaas.com,Active,0.0873
72,1,loyal,2022-07-07,user72@techflowsaas.com,Active,0.071
73,1,loyal,2022-08-05,user73@techflowsaas.com,Active,0.0875
74,1,churner,2022-06-26,user74@techflowsaas.com,Churned,0.9116
75,1,churner,2020-07-19,user75@techflowsaas.com,Churned,0.7601
76,1,churner,2020-01-31,user76@techflowsaas.com,Churned,0.9438
77,1,churner,2021-04-29,user77@techflowsaas.com,Churned,0.7833
78,1,loyal,2021-03-13,user78@techflowsaas.com,Active,0.1797
79,1,churner,2020-12-03,user79@techflowsaas.com,Churned,0.8258
80,1,churner,2021-06-27,user80@techflowsaas.com,Churned,0.9353
81,1,at_risk,2021-08-07,user81@techflowsaas.com,At Risk,0.5058
82,1,churner,2023-02-12,user82@techflowsaas.com,Churned,0.8824
83,1,loyal,2021-01-23,user83@techflowsaas.com,Active,0.0945
84,1,churner,2023-04-01,user84@techflowsaas.com,Churned,0.8971
85,1,loyal,2021-10-04,user85@techflowsaas.com,Active,0.0586
86,1,at_risk,2022-10-26,user86@techflowsaas.com,At Risk,0.6298
87,1,at_risk,2020-04-26,user87@techflowsaas.com,At Risk,0.6402
88,1,loyal,2021-01-15,user88@techflowsaas.com,Active,0.0603
89,1,loyal,2021-04-26,user89@techflowsaas.com,Active,0.1106
90,1,churner,2023-03-12,user90@techflowsaas.com,Churned,0.7992
91,1,at_risk,2023-06-22,user91@techflowsaas.com,At Risk,0.4205
92,1,at_risk,2023-03-03,user92@techflowsaas.com,At Risk,0.5307
93,1,churner,2021-02-22,user93@techflowsaas.com,Churned,0.8839
94,1,loyal,2021-06-27,user94@techflowsaas.com,Active,0.1094
95,2,loyal,2020-05-28,user95@retailpulse.com,Active,0.0514
96,2,at_risk,2023-02-27,user96@retailpulse.com,At Risk,0.649
97,2,loyal,2021-03-12,user97@retailpulse.com,Active,0.1259
98,2,loyal,2021-12-15,user98@retailpulse.com,Active,0.1821
99,2,churner,2022-01-26,user99@retailpulse.com,Churned,0.807
100,2,loyal,2023-01-17,user100@retailpulse.com,Active,0.1555
101,2,at_risk,2023-09-01,user101@retailpulse.com,At Risk,0.5322
102,2,at_risk,2023-02-09,user102@retailpulse.com,At Risk,0.4748
103,2,at_risk,2020-10-02,user103@retailpulse.com,At Risk,0.4661
104,2,churner,2023-02-07,user104@retailpulse.com,Churned,0.7811
105,2,loyal,2021-03-07,user105@retailpulse.com,Active,0.1576
106,2,loyal,2023-07-22,user106@retailpulse.com,Active,0.1779
107,2,at_risk,2021-05-29,user107@retailpulse.com,At Risk,0.6263
108,2,churner,2020-07-08,user108@retailpulse.com,Churned,0.8769
109,2,churner,2020-03-31,user109@retailpulse.com,Churned,0.7507
110,2,at_risk,2023-07-28,user110@retailpulse.com,At Risk,0.6449
111,2,loyal,2022-06-23,user111@retailpulse.com,Active,0.1328
112,2,loyal,2020-01-20,user112@retailpulse.com,Active,0.0668
113,2,churner,2023-11-16,user113@retailpulse.com,Churned,0.9308
114,2,at_risk,2022-01-26,user114@retailpulse.com,At Risk,0.5456
115,2,loyal,2020-09-18,user115@retailpulse.com,Active,0.0563
116,2,loyal,2020-03-22,user116@retailpulse.com,Active,0.1848
117,2,loyal,2021-05-26,user117@retailpulse.com,Active,0.15
118,2,loyal,2023-02-20,user118@retailpulse.com,Active,0.1826
119,2,loyal,2023-06-25,user119@retailpulse.com,Active,0.1624
120,2,churner,2021-04-29,user120@retailpulse.com,Churned,0.9229
121,2,churner,2020-12-28,user121@retailpulse.com,Churned,0.9263
122,2,loyal,2021-11-11,user122@retailpulse.com,Active,0.1674
123,2,loyal,2023-10-03,user123@retailpulse.com,Active,0.1796
124,2,churner,2021-06-30,user124@retailpulse.com,Churned,0.7818
125,2,at_risk,2022-02-22,user125@retailpulse.com,At Risk,0.618
126,2,churner,2021-03-31,user126@retailpulse.com,Churned,0.7899
127,2,churner,2021-12-17,user127@retailpulse.com,Churned,0.811
128,2,at_risk,2021-04-11,user128@retailpulse.com,At Risk,0.4557
129,2,at_risk,2022-03-27,user129@retailpulse.com,At Risk,0.4821
130,2,churner,2021-07-25,user130@retailpulse.com,Churned,0.8202
131,2,at_risk,2023-10-23,user131@retailpulse.com,At Risk,0.6453
132,2,at_risk,2020-02-26,user132@retailpulse.com,At Risk,0.4288
133,2,churner,2020-12-31,user133@retailpulse.com,Churned,0.8661
134,2,churner,2020-03-19,user134@retailpulse.com,Churned,0.7717
135,2,loyal,2021-10-04,user135@retailpulse.com,Active,0.1155
136,2,churner,2020-08-24,user136@retailpulse.com,Churned,0.827
137,2,at_risk,2021-06-05,user137@retailpulse.com,At Risk,0.4111
138,2,loyal,2022-11-30,user138@retailpulse.com,Active,0.1888
139,2,at_risk,2023-10-05,user139@retailpulse.com,At Risk,0.4493
140,2,loyal,2023-09-22,user140@retailpulse.com,Active,0.1881
141,2,at_risk,2023-09-20,user141@retailpulse.com,At Risk,0.612
142,2,at_risk,2021-09-07,user142@retailpulse.com,At Risk,0.5268
143,2,at_risk,2021-10-30,user143@retailpulse.com,At Risk,0.5006
144,2,loyal,2020-09-17,user144@retailpulse.com,Active,0.0788
145,2,at_risk,2022-02-15,user145@retailpulse.com,At Risk,0.5693
146,2,churner,2023-06-14,user146@retailpulse.com,Churned,0.8638
147,2,loyal,2020-01-01,user147@retailpulse.com,Active,0.0956
148,2,loyal,2023-04-02,user148@retailpulse.com,Active,0.141
149,2,loyal,2022-06-23,user149@retailpulse.com,Active,0.1163
150,2,loyal,2022-08-27,user150@retailpulse.com,Active,0.1691
151,2,churner,2020-12-13,user151@retailpulse.com,Churned,0.8818
152,2,loyal,2023-09-21,user152@retailpulse.com,Active,0.1449
153,2,loyal,2021-04-26,user153@retailpulse.com,Active,0.1509
154,2,loyal,2021-02-11,user154@retailpulse.com,Active,0.0721
155,2,loyal,2022-08-31,user155@retailpulse.com,Active,0.1417
156,2,at_risk,2022-07-21,user156@retailpulse.com,At Risk,0.5036
157,2,at_risk,2021-02-02,user157@retailpulse.com,At Risk,0.5796
158,2,loyal,2022-03-29,user158@retailpulse.com,Active,0.0866
159,2,at_risk,2020-01-12,user159@retailpulse.com,At Risk,0.6232
160,2,churner,2020-08-06,user160@retailpulse.com,Churned,0.9057
161,2,loyal,2023-11-26,user161@retailpulse.com,Active,0.1277
162,2,loyal,2021-05-25,user162@retailpulse.com,Active,0.1876
163,2,loyal,2020-09-30,user163@retailpulse.com,Active,0.1702
164,2,at_risk,2023-02-18,user164@retailpulse.com,At Risk,0.5489
165,2,churner,2022-06-25,user165@retailpulse.com,Churned,0.8725
166,2,at_risk,2022-10-30,user166@retailpulse.com,At Risk,0.5067
167,2,churner,2022-07-02,user167@retailpulse.com,Churned,0.9294
168,2,at_risk,2022-08-30,user168@retailpulse.com,At Risk,0.5125
169,2,at_risk,2023-07-29,user169@retailpulse.com,At Risk,0.4693
170,2,at_risk,2022-09-19,user170@retailpulse.com,At Risk,0.5567
171,2,loyal,2020-06-07,user171@retailpulse.com,Active,0.157
172,2,loyal,2021-11-18,user172@retailpulse.com,Active,0.098
173,2,at_risk,2020-10-10,user173@retailpulse.com,At Risk,0.4377
174,2,loyal,2020-11-08,user174@retailpulse.com,Active,0.156
175,2,loyal,2022-04-14,user175@retailpulse.com,Active,0.0996
176,2,loyal,2020-05-07,user176@retailpulse.com,Active,0.081
177,2,loyal,2023-04-11,user177@retailpulse.com,Active,0.1919
178,2,loyal,2023-03-25,user178@retailpulse.com,Active,0.1071
179,2,loyal,2021-12-21,user179@retailpulse.com,Active,0.0948
180,2,loyal,2022-05-08,user180@retailpulse.com,Active,0.1307
181,2,at_risk,2023-05-20,user181@retailpulse.com,At Risk,0.6245
182,2,loyal,2021-07-12,user182@retailpulse.com,Active,0.1154
183,2,loyal,2021-11-19,user183@retailpulse.com,Active,0.1503
184,2,at_risk,2020-12-04,user184@retailpulse.com,At Risk,0.6101
185,2,churner,2023-06-28,user185@retailpulse.com,Churned,0.8568
186,2,churner,2023-04-27,user186@retailpulse.com,Churned,0.8629
187,2,loyal,2023-08-09,user187@retailpulse.com,Active,0.1143
188,2,churner,2021-01-07,user188@retailpulse.com,Churned,0.7601
189,2,loyal,2021-03-09,user189@retailpulse.com,Active,0.1182
190,2,loyal,2022-02-15,user190@retailpulse.com,Active,0.0917
191,2,churner,2022-05-13,user191@retailpulse.com,Churned,0.8005
192,2,loyal,2020-02-09,user192@retailpulse.com,Active,0.1624
193,2,loyal,2021-12-17,user193@retailpulse.com,Active,0.0836
194,2,loyal,2023-08-27,user194@retailpulse.com,Active,0.056
195,2,loyal,2021-05-21,user195@retailpulse.com,Active,0.0799
196,2,loyal,2020-11-08,user196@retailpulse.com,Active,0.0858
197,2,loyal,2020-08-22,user197@retailpulse.com,Active,0.1346
198,2,loyal,2023-12-03,user198@retailpulse.com,Active,0.0884
199,2,loyal,2023-05-25,user199@retailpulse.com,Active,0.1411
200,2,at_risk,2020-08-22,user200@retailpulse.com,At Risk,0.5944
201,2,loyal,2021-09-29,user201@retailpulse.com,Active,0.0662
202,2,loyal,2021-09-30,user202@retailpulse.com,Active,0.1364
203,2,churner,2022-02-07,user203@retailpulse.com,Churned,0.8293
204,2,at_risk,2020-06-04,user204@retailpulse.com,At Risk,0.548
205,2,churner,2021-05-12,user205@retailpulse.com,Churned,0.7704
206,2,at_risk,2023-11-02,user206@retailpulse.com,At Risk,0.5501
207,2,loyal,2023-03-05,user207@retailpulse.com,Active,0.1674
208,2,loyal,2022-05-27,user208@retailpulse.com,Active,0.1492
209,2,loyal,2023-08-19,user209@retailpulse.com,Active,0.1012
210,2,churner,2022-09-30,user210@retailpulse.com,Churned,0.7711
211,2,churner,2023-07-25,user211@retailpulse.com,Churned,0.9283
212,2,loyal,2020-11-09,user212@retailpulse.com,Active,0.1153
213,3,churner,2021-07-07,user213@edulearnplatform.com,Churned,0.8732
214,3,churner,2022-09-17,user214@edulearnplatform.com,Churned,0.843
215,3,churner,2023-04-28,user215@edulearnplatform.com,Churned,0.8037
216,3,churner,2020-06-26,user216@edulearnplatform.com,Churned,0.8058
217,3,loyal,2022-08-09,user217@edulearnplatform.com,Active,0.1355
218,3,at_risk,2021-11-19,user218@edulearnplatform.com,At Risk,0.4072
219,3,churner,2021-01-07,user219@edulearnplatform.com,Churned,0.8475
220,3,loyal,2021-06-13,user220@edulearnplatform.com,Active,0.1011
221,3,churner,2023-12-07,user221@edulearnplatform.com,Churned,0.926
222,3,at_risk,2022-11-24,user222@edulearnplatform.com,At Risk,0.637
223,3,loyal,2022-04-12,user223@edulearnplatform.com,Active,0.1233
224,3,at_risk,2023-11-15,user224@edulearnplatform.com,At Risk,0.519
225,3,at_risk,2022-07-06,user225@edulearnplatform.com,At Risk,0.5982
226,3,loyal,2021-03-29,user226@edulearnplatform.com,Active,0.1107
227,3,loyal,2023-09-21,user227@edulearnplatform.com,Active,0.1372
228,3,loyal,2022-12-23,user228@edulearnplatform.com,Active,0.1016
229,3,churner,2023-02-01,user229@edulearnplatform.com,Churned,0.8162
230,3,at_risk,2021-07-08,user230@edulearnplatform.com,At Risk,0.4767
231,3,loyal,2021-01-29,user231@edulearnplatform.com,Active,0.0973
232,3,at_risk,2023-11-14,user232@edulearnplatform.com,At Risk,0.4463
233,3,loyal,2022-09-18,user233@edulearnplatform.com,Active,0.0915
234,3,at_risk,2022-12-10,user234@edulearnplatform.com,At Risk,0.5492
235,3,churner,2021-02-01,user235@edulearnplatform.com,Churned,0.8092
236,3,loyal,2021-09-11,user236@edulearnplatform.com,Active,0.0521
237,3,at_risk,2021-07-15,user237@edulearnplatform.com,At Risk,0.4114
238,3,loyal,2021-08-21,user238@edulearnplatform.com,Active,0.1546
239,3,loyal,2022-10-02,user239@edulearnplatform.com,Active,0.0654
240,3,loyal,2021-08-05,user240@edulearnplatform.com,Active,0.1204
241,3,loyal,2021-01-12,user241@edulearnplatform.com,Active,0.1948
242,3,loyal,2022-09-05,user242@edulearnplatform.com,Active,0.0671
243,3,loyal,2022-10-04,user243@edulearnplatform.com,Active,0.0611
244,3,at_risk,2020-04-19,user244@edulearnplatform.com,At Risk,0.4379
245,3,churner,2021-09-14,user245@edulearnplatform.com,Churned,0.767
246,3,loyal,2023-02-16,user246@edulearnplatform.com,Active,0.1647
247,3,at_risk,2023-06-20,user247@edulearnplatform.com,At Risk,0.4564
248,3,at_risk,2022-07-11,user248@edulearnplatform.com,At Risk,0.6271
249,3,loyal,2023-04-20,user249@edulearnplatform.com,Active,0.1985
250,3,loyal,2023-06-25,user250@edulearnplatform.com,Active,0.059
251,3,churner,2020-07-22,user251@edulearnplatform.com,Churned,0.9395
252,3,loyal,2021-03-08,user252@edulearnplatform.com,Active,0.0897
253,3,loyal,2021-05-06,user253@edulearnplatform.com,Active,0.0761
254,3,loyal,2020-01-06,user254@edulearnplatform.com,Active,0.1113
255,3,at_risk,2022-08-20,user255@edulearnplatform.com,At Risk,0.4728
256,3,loyal,2023-12-18,user256@edulearnplatform.com,Active,0.0924
257,3,churner,2020-05-25,user257@edulearnplatform.com,Churned,0.8875
258,3,churner,2023-07-04,user258@edulearnplatform.com,Churned,0.868
259,3,churner,2021-02-09,user259@edulearnplatform.com,Churned,0.835
260,3,at_risk,2023-08-19,user260@edulearnplatform.com,At Risk,0.4372
261,3,loyal,2020-10-18,user261@edulearnplatform.com,Active,0.0607
262,3,loyal,2021-09-21,user262@edulearnplatform.com,Active,0.1393
263,3,churner,2021-08-14,user263@edulearnplatform.com,Churned,0.8378
264,3,loyal,2021-09-14,user264@edulearnplatform.com,Active,0.155
265,3,churner,2022-10-21,user265@edulearnplatform.com,Churned,0.858
266,3,loyal,2023-05-09,user266@edulearnplatform.com,Active,0.056
267,3,loyal,2021-10-22,user267@edulearnplatform.com,Active,0.1406
268,3,loyal,2021-04-13,user268@edulearnplatform.com,Active,0.1943
269,3,churner,2023-03-24,user269@edulearnplatform.com,Churned,0.8674
270,3,loyal,2023-10-08,user270@edulearnplatform.com,Active,0.1732
271,3,at_risk,2020-12-24,user271@edulearnplatform.com,At Risk,0.5176
272,3,at_risk,2021-07-23,user272@edulearnplatform.com,At Risk,0.4454
273,3,at_risk,2023-07-24,user273@edulearnplatform.com,At Risk,0.6036
274,3,churner,2022-08-20,user274@edulearnplatform.com,Churned,0.8196
275,3,loyal,2023-10-04,user275@edulearnplatform.com,Active,0.0657
276,3,loyal,2022-04-23,user276@edulearnplatform.com,Active,0.1541
277,3,loyal,2022-03-31,user277@edulearnplatform.com,Active,0.172
278,3,at_risk,2022-07-20,user278@edulearnplatform.com,At Risk,0.422
279,3,loyal,2020-08-25,user279@edulearnplatform.com,Active,0.1955
280,3,loyal,2022-11-19,user280@edulearnplatform.com,Active,0.1737
281,3,loyal,2023-01-16,user281@edulearnplatform.com,Active,0.1193
282,3,loyal,2022-11-27,user282@edulearnplatform.com,Active,0.1043
283,3,at_risk,2023-07-04,user283@edulearnplatform.com,At Risk,0.5105
284,3,loyal,2021-06-30,user284@edulearnplatform.com,Active,0.1324
285,3,churner,2022-06-16,user285@edulearnplatform.com,Churned,0.9262
286,3,loyal,2020-02-29,user286@edulearnplatform.com,Active,0.196
287,3,at_risk,2021-05-05,user287@edulearnplatform.com,At Risk,0.5774
288,3,loyal,2020-01-29,user288@edulearnplatform.com,Active,0.1328
289,3,loyal,2020-08-20,user289@edulearnplatform.com,Active,0.1192
290,3,loyal,2020-11-11,user290@edulearnplatform.com,Active,0.1248
291,3,at_risk,2022-11-08,user291@edulearnplatform.com,At Risk,0.5764
292,3,loyal,2022-09-15,user292@edulearnplatform.com,Active,0.197
293,3,loyal,2023-02-02,user293@edulearnplatform.com,Active,0.0717
294,3,loyal,2023-05-12,user294@edulearnplatform.com,Active,0.1262
295,3,churner,2020-05-22,user295@edulearnplatform.com,Churned,0.8052
296,3,at_risk,2022-04-29,user296@edulearnplatform.com,At Risk,0.485
297,3,at_risk,2021-07-01,user297@edulearnplatform.com,At Risk,0.6051
298,3,loyal,2021-09-03,user298@edulearnplatform.com,Active,0.1756
299,3,at_risk,2023-09-13,user299@edulearnplatform.com,At Risk,0.5224
300,3,loyal,2023-01-08,user300@edulearnplatform.com,Active,0.1227
301,3,loyal,2023-01-17,user301@edulearnplatform.com,Active,0.1066
302,3,churner,2021-01-21,user302@edulearnplatform.com,Churned,0.9462
303,3,loyal,2022-02-23,user303@edulearnplatform.com,Active,0.085
304,3,at_risk,2020-03-30,user304@edulearnplatform.com,At Risk,0.4795
305,3,loyal,2022-02-19,user305@edulearnplatform.com,Active,0.1079
306,3,at_risk,2023-08-28,user306@edulearnplatform.com,At Risk,0.6452
307,3,loyal,2020-03-16,user307@edulearnplatform.com,Active,0.0689
308,3,churner,2021-11-10,user308@edulearnplatform.com,Churned,0.9239
309,3,churner,2022-06-20,user309@edulearnplatform.com,Churned,0.7699
310,3,churner,2020-02-01,user310@edulearnplatform.com,Churned,0.8945
311,3,loyal,2023-09-02,user311@edulearnplatform.com,Active,0.1955
312,3,loyal,2021-06-26,user312@edulearnplatform.com,Active,0.1008
313,3,at_risk,2023-08-23,user313@edulearnplatform.com,At Risk,0.4201
314,3,loyal,2023-10-13,user314@edulearnplatform.com,Active,0.1789
315,3,loyal,2021-10-10,user315@edulearnplatform.com,Active,0.144
316,3,churner,2022-09-26,user316@edulearnplatform.com,Churned,0.9245
317,3,loyal,2020-05-20,user317@edulearnplatform.com,Active,0.0852
318,3,at_risk,2021-08-11,user318@edulearnplatform.com,At Risk,0.6494
319,3,at_risk,2022-06-07,user319@edulearnplatform.com,At Risk,0.6446
320,3,at_risk,2023-12-12,user320@edulearnplatform.com,At Risk,0.6181
321,3,loyal,2023-11-22,user321@edulearnplatform.com,Active,0.0949
322,3,loyal,2021-10-26,user322@edulearnplatform.com,Active,0.1694
323,3,loyal,2022-02-06,user323@edulearnplatform.com,Active,0.1146
324,3,loyal,2022-04-23,user324@edulearnplatform.com,Active,0.1349
325,3,at_risk,2020-12-14,user325@edulearnplatform.com,At Risk,0.4438
326,3,at_risk,2022-02-22,user326@edulearnplatform.com,At Risk,0.5549
327,3,loyal,2023-04-09,user327@edulearnplatform.com,Active,0.0715
328,3,loyal,2021-06-04,user328@edulearnplatform.com,Active,0.1189
329,3,at_risk,2022-08-10,user329@edulearnplatform.com,At Risk,0.6253
330,3,at_risk,2020-11-19,user330@edulearnplatform.com,At Risk,0.4185
331,3,churner,2023-04-18,user331@edulearnplatform.com,Churned,0.8098
332,3,churner,2023-11-14,user332@edulearnplatform.com,Churned,0.8
333,3,churner,2021-02-11,user333@edulearnplatform.com,Churned,0.9499
334,3,churner,2020-08-06,user334@edulearnplatform.com,Churned,0.7974
335,3,at_risk,2023-03-23,user335@edulearnplatform.com,At Risk,0.474
336,3,at_risk,2020-02-14,user336@edulearnplatform.com,At Risk,0.6445
337,3,at_risk,2021-07-16,user337@edulearnplatform.com,At Risk,0.402
338,3,churner,2020-04-10,user338@edulearnplatform.com,Churned,0.9321
339,3,at_risk,2021-08-09,user339@edulearnplatform.com,At Risk,0.5939
340,3,loyal,2021-12-22,user340@edulearnplatform.com,Active,0.0829
341,3,loyal,2021-05-28,user341@edulearnplatform.com,Active,0.1517
342,3,at_risk,2023-09-12,user342@edulearnplatform.com,At Risk,0.5702
343,3,loyal,2020-07-17,user343@edulearnplatform.com,Active,0.1855
344,3,at_risk,2021-09-24,user344@edulearnplatform.com,At Risk,0.5972
345,3,loyal,2022-01-17,user345@edulearnplatform.com,Active,0.1599
346,3,loyal,2021-08-27,user346@edulearnplatform.com,Active,0.099
347,3,loyal,2021-02-15,user347@edulearnplatform.com,Active,0.0698
348,3,at_risk,2022-01-19,user348@edulearnplatform.com,At Risk,0.5327
349,3,churner,2020-12-02,user349@edulearnplatform.com,Churned,0.8014
350,3,churner,2022-09-13,user350@edulearnplatform.com,Churned,0.9435
351,3,loyal,2021-11-24,user351@edulearnplatform.com,Active,0.1706
352,3,loyal,2020-06-03,user352@edulearnplatform.com,Active,0.0711
353,3,churner,2023-10-17,user353@edulearnplatform.com,Churned,0.8948
354,3,churner,2023-02-15,user354@edulearnplatform.com,Churned,0.8232
355,3,at_risk,2020-01-29,user355@edulearnplatform.com,At Risk,0.4661
356,3,loyal,2022-01-24,user356@edulearnplatform.com,Active,0.1509
357,3,at_risk,2023-04-12,user357@edulearnplatform.com,At Risk,0.4953
358,3,at_risk,2022-01-30,user358@edulearnplatform.com,At Risk,0.4271
359,4,loyal,2023-06-22,user359@healthtrackapp.com,Active,0.1826
360,4,at_risk,2023-06-03,user360@healthtrackapp.com,At Risk,0.4553
361,4,loyal,2022-08-08,user361@healthtrackapp.com,Active,0.1864
362,4,loyal,2022-04-16,user362@healthtrackapp.com,Active,0.0675
363,4,loyal,2020-03-17,user363@healthtrackapp.com,Active,0.0957
364,4,loyal,2020-07-18,user364@healthtrackapp.com,Active,0.0852
365,4,at_risk,2022-03-06,user365@healthtrackapp.com,At Risk,0.5134
366,4,at_risk,2023-11-27,user366@healthtrackapp.com,At Risk,0.6365
367,4,loyal,2020-11-12,user367@healthtrackapp.com,Active,0.1828
368,4,at_risk,2022-09-29,user368@healthtrackapp.com,At Risk,0.5539
369,4,churner,2021-07-26,user369@healthtrackapp.com,Churned,0.7565
370,4,loyal,2022-06-27,user370@healthtrackapp.com,Active,0.1167
371,4,loyal,2022-01-12,user371@healthtrackapp.com,Active,0.0649
372,4,at_risk,2023-01-20,user372@healthtrackapp.com,At Risk,0.6254
373,4,at_risk,2020-05-04,user373@healthtrackapp.com,At Risk,0.4995
374,4,loyal,2020-09-07,user374@healthtrackapp.com,Active,0.1924
375,4,churner,2020-07-06,user375@healthtrackapp.com,Churned,0.8826
376,4,at_risk,2023-05-07,user376@healthtrackapp.com,At Risk,0.6428
377,4,loyal,2021-11-14,user377@healthtrackapp.com,Active,0.0865
378,4,loyal,2023-03-02,user378@healthtrackapp.com,Active,0.0808
379,4,churner,2023-02-09,user379@healthtrackapp.com,Churned,0.7914
380,4,loyal,2021-04-22,user380@healthtrackapp.com,Active,0.0993
381,4,loyal,2023-05-05,user381@healthtrackapp.com,Active,0.0504
382,4,churner,2020-10-23,user382@healthtrackapp.com,Churned,0.9475
383,4,at_risk,2020-12-23,user383@healthtrackapp.com,At Risk,0.4275
384,4,churner,2020-09-26,user384@healthtrackapp.com,Churned,0.753
385,4,at_risk,2021-05-02,user385@healthtrackapp.com,At Risk,0.5472
386,4,loyal,2021-06-27,user386@healthtrackapp.com,Active,0.0579
387,4,at_risk,2022-12-13,user387@healthtrackapp.com,At Risk,0.4284
388,4,loyal,2022-07-07,user388@healthtrackapp.com,Active,0.1667
